Player,kmax,chi2,p-val
Rafael Nadal,41,430.81601594563114,0.0
John Isner,24,57.86484900228503,7.729162866809691e-05
Donald Young,18,31.78001041077404,0.01602316156198036
Dudi Sela,31,1161.2238284198738,0.0
Tomas Berdych,36,158.92172496042224,0.0
Fabio Fognini,31,389.3159989966735,0.0
Lukas Lacko,53,,
Mikhail Youzhny,36,,
Milos Raonic,31,51.08947241663321,0.00953048159797687
Andreas Seppi,43,,
Juan Martin Del Potro,38,226.32842888374762,0.0
Adrian Mannarino,24,66.83553563700171,3.708403137014926e-06
Florian Mayer,21,53.340386415340085,7.241348339082077e-05
Benoit Paire,28,146.81068605191982,0.0
Robin Haase,31,125.19667858337081,1.3578027591165664e-13
Gilles Simon,26,34.28114340174714,0.10203382205135758
Alexandr Dolgopolov,39,1379.1200678822686,0.0
Kei Nishikori,68,,
Viktor Troicki,68,,
David Ferrer,33,596.4119668978105,0.0
Novak Djokovic,46,inf,0.0
Andy Murray,56,,
Sam Querrey,48,,
Jeremy Chardy,41,,
Ryan Harrison,32,1021.7199280709517,0.0
Kevin Anderson,60,,
Julien Benneteau,21,51.58986672010111,0.0001306325588534829
Feliciano Lopez,40,,
Marin Cilic,34,138.05244791425162,8.326672684688674e-15
Richard Gasquet,33,98.823435421479,9.63312463131416e-09
Albert Ramos,25,106.54360732525299,2.25208740545213e-12
Steve Darcis,18,30.307968792597336,0.024207693818127263
Mikhail Kukushkin,22,33.75178977567894,0.0385176441115892
Leonardo Mayer,25,68.46910535702037,3.7201062186298373e-06
Gael Monfils,31,124.27851468433491,1.942890293094024e-13
Roger Federer,41,249.60012527507718,0.0
Grigor Dimitrov,51,,
Jack Sock,31,215.71203691421647,0.0
Ivo Karlovic,37,112.94215186274675,7.178506677973928e-10
Malek Jaziri,23,39.50899864151297,0.01233056710825764
Denis Istomin,34,,
Gilles Muller,31,70.25594432054424,4.486134055936564e-05
Philipp Kohlschreiber,25,35.51514572401059,0.061119122994739206
Matthew Ebden,19,101.9976774425271,9.525713551283843e-14
Blaz Kavcic,17,19.26941282113288,0.2549401456286192
Mischa Zverev,39,102.18183156658702,8.658858774435174e-08
Paolo Lorenzi,26,33.3961510935829,0.12145798491224558
David Goffin,29,85.94942355305572,8.404995766042589e-08
Steve Johnson,25,29.371535569813098,0.20646101461805855
Fernando Verdasco,31,127.33737185836114,5.873079800267078e-14
Joao Sousa,21,34.382530297148364,0.023650522480102687
Evgeny Donskoy,27,260.9591361946397,0.0
Jiri Vesely,32,81.0396984375095,2.359747941715895e-06
Lucas Pouille,35,599.4443331064894,0.0
Roberto Bautista Agut,38,inf,0.0
Nick Kyrgios,33,131.63681342356057,4.829470157119431e-14
Thomas Fabbiano,12,18.944391714939616,0.062099027986146416
Pablo Cuevas,22,32.93699990076688,0.04692037731473164
Guido Pella,19,39.49315825425262,0.002445364661217697
Kyle Edmund,22,37.168606267450045,0.01609906765394098
Jordan Thompson,28,222.0795320837324,0.0
Dusan Lajovic,25,57.67205207042902,0.0001351136496092753
Stan Wawrinka,61,,
Damir Dzumhur,24,129.60670275593554,1.1102230246251565e-16
Taro Daniel,35,,
Filip Krajinovic,15,14.093309868239555,0.44278276239223713
Pablo Carreno Busta,21,37.11285648887354,0.011342657014709823
Peter Gojowczyk,9,9.855093688458076,0.2753441594050673
Dominic Thiem,24,31.18884674461074,0.11822384661712759
Federico Delbonis,22,179.20871195082512,0.0
Borna Coric,34,1034.5943441745628,0.0
Jo Wilfried Tsonga,63,,
Frances Tiafoe,20,40.645707058513466,0.002689653076119014
Yen Hsun Lu,28,125.27212009636841,1.3211653993039363e-14
Radu Albot,22,40.74499755702068,0.006028510790872743
Aljaz Bedene,59,,
Pierre Hugues Herbert,35,110.38375888267566,5.300537786467885e-10
Jan Lennard Struff,19,35.32377775741165,0.008603504841417031
Horacio Zeballos,65,,
Yuichi Sugita,15,30.121432286732016,0.007343358074821116
Nikoloz Basilashvili,36,,
Alexander Zverev,23,60.422452303574396,1.934886114307588e-05
Gerald Melzer,12,12.514379466835381,0.32624533144002266
Hyeon Chung,30,197.83275153757987,0.0
Guillermo Garcia Lopez,35,512.6487264646149,0.0
Jared Donaldson,18,42.51076466316768,0.0005656755232577027
Andrey Rublev,13,13.351071043163197,0.34404804412780754
Karen Khachanov,18,16.120847384187716,0.515284620745627
Daniil Medvedev,17,33.94820213126627,0.005520981923227142
Marius Copil,12,9.538584799324044,0.5723054406211525
Nicolas Kicker,16,17.43293826353626,0.29364862248947876
Tennys Sandgren,8,11.777287237357424,0.10812489707465478
Denis Shapovalov,22,56.22175149351445,4.681776319037656e-05
Marton Fucsovics,10,8.647363649748215,0.4704412484884464
Stefanos Tsitsipas,13,11.294173462731456,0.5038903966810075
Victor Estrella,3,5.826507558019884,0.05429876593967742
